"filename", "language", "TypeScript", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 4, 0, 0, 1, 3, 8
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\courses\create\parse\ecoCodes.ts", "TypeScript", 5012, 0, 0, 0, 2, 5014
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\courses\create\parse\route.ts", "TypeScript", 144, 0, 0, 14, 13, 171
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\courses\create\upload\route.ts", "TypeScript", 150, 0, 0, 6, 15, 171
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\courses\single\[courseId]\route.ts", "TypeScript", 34, 0, 0, 10, 8, 52
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\courses\user\[courseId]\route.ts", "TypeScript", 25, 0, 0, 0, 5, 30
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\courses\user\route.ts", "TypeScript", 24, 0, 0, 0, 5, 29
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\responses.ts", "TypeScript", 23, 0, 0, 0, 2, 25
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\Header\Header.tsx", "TypeScript JSX", 0, 0, 47, 0, 2, 49
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\Header\LoginOrDash.tsx", "TypeScript JSX", 0, 0, 51, 0, 3, 54
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\courses\create\CreateCourse.tsx", "TypeScript JSX", 0, 0, 78, 0, 6, 84
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\courses\create\DetailsForm.tsx", "TypeScript JSX", 0, 0, 81, 0, 4, 85
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\courses\create\GroupItem.tsx", "TypeScript JSX", 0, 0, 106, 0, 3, 109
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\courses\create\GroupSelector.tsx", "TypeScript JSX", 0, 0, 98, 4, 7, 109
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\courses\create\PgnToLinesForm.tsx", "TypeScript JSX", 0, 0, 131, 5, 10, 146
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\courses\create\Steps.tsx", "TypeScript JSX", 0, 0, 42, 0, 3, 45
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\dashboard\ToolGrid.tsx", "TypeScript JSX", 0, 0, 47, 2, 4, 53
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\general\NumberIcon.tsx", "TypeScript JSX", 0, 0, 20, 0, 1, 21
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\components\general\PrettyPrintLine.tsx", "TypeScript JSX", 0, 0, 22, 3, 4, 29
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\context\NextAuthProvider.tsx", "TypeScript JSX", 0, 0, 10, 0, 3, 13
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\courses\[courseId]\page.tsx", "TypeScript JSX", 0, 0, 30, 0, 2, 32
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\courses\create\page.tsx", "TypeScript JSX", 0, 0, 18, 0, 3, 21
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\courses\page.tsx", "TypeScript JSX", 0, 0, 15, 0, 2, 17
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 108, 1, 7, 116
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\layout.tsx", "TypeScript JSX", 0, 0, 32, 0, 3, 35
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\page.tsx", "TypeScript JSX", 0, 0, 32, 0, 2, 34
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\courses\page.tsx", "TypeScript JSX", 0, 0, 19, 1, 4, 24
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\endgames\page.tsx", "TypeScript JSX", 0, 0, 15, 0, 2, 17
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\knight-vision\page.tsx", "TypeScript JSX", 0, 0, 15, 0, 2, 17
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\page.tsx", "TypeScript JSX", 0, 0, 4, 0, 1, 5
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\puzzles\page.tsx", "TypeScript JSX", 0, 0, 15, 0, 2, 17
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\training\visualisation\page.tsx", "TypeScript JSX", 0, 0, 19, 1, 3, 23
"c:\Users\user\Documents\Programming\chess-trainer-2\src\env.js", "JavaScript", 0, 40, 0, 26, 4, 70
"c:\Users\user\Documents\Programming\chess-trainer-2\src\server\auth.ts", "TypeScript", 35, 0, 0, 31, 6, 72
"c:\Users\user\Documents\Programming\chess-trainer-2\src\server\db.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"Total", "-", 5463, 40, 1055, 105, 151, 6814
