"filename", "language", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\_util\AddBadge.ts", "TypeScript", 0, 51, 0, 0, 0, 4, 9, 64
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\_util\RanksAndBadges.ts", "TypeScript", 0, 311, 0, 0, 0, 0, 4, 315
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\_util\SortableItem.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\_util\UpdateStreak.ts", "TypeScript", 0, 57, 0, 0, 0, 3, 10, 70
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\_util\_providers.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 6, 36
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\_util\getDistinctId.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 3, 4, 22
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\_util\getUserServer.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 2, 7, 74
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\_util\isFlagEnabledServer.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 5, 21
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\_util\toHHMMSS.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\_util\trackEventOnClient.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\_util\trackEventOnServer.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\about\features\natural-play-learning\page.tsx", "TypeScript JSX", 0, 0, 119, 0, 0, 0, 3, 122
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\about\features\page.tsx", "TypeScript JSX", 0, 0, 123, 0, 0, 0, 4, 127
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\about\features\woodpecker-method\page.tsx", "TypeScript JSX", 0, 0, 124, 0, 0, 0, 3, 127
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\about\meet-the-team\page.tsx", "TypeScript JSX", 0, 0, 85, 0, 0, 0, 4, 89
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 98, 0, 0, 0, 3, 101
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\about\ranks-and-badges\page.tsx", "TypeScript JSX", 0, 0, 80, 0, 0, 0, 4, 84
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\admin\badges\page.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 4, 34
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\admin\curated-sets\page.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\admin\badges\route.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 15, 87
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\auth\[kindeAuth]\route.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\auth\cookies\route.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\courses\create\checkName\route.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\user\Documents\Programming\chess-trainer-2\src\app\api\courses\create\upload\route.ts", "TypeScript", 0, 105, 0, 0, 0, 5, 14, 124
