Date : 2023-12-29 16:43:36
Directory : c:\Users\user\Documents\Programming\chess-trainer-2\src
Total : 122 files,  14783 codes, 186 comments, 804 blanks, all 15773 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         82 |      7,560 |        137 |        549 |      8,246 |
| TypeScript     |         37 |      7,096 |         24 |        240 |      7,360 |
| JavaScript     |          1 |         58 |         24 |          4 |         86 |
| CSS            |          1 |         53 |          1 |          7 |         61 |
| JavaScript JSX |          1 |         16 |          0 |          4 |         20 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        122 |     14,783 |        186 |        804 |     15,773 |
| . (Files)                                                                                                                  |          2 |         68 |         24 |          7 |         99 |
| app                                                                                                                        |        119 |     14,704 |        162 |        792 |     15,658 |
| app (Files)                                                                                                                |          6 |        458 |          2 |         25 |        485 |
| app\_util                                                                                                                  |         11 |        614 |         12 |         56 |        682 |
| app\about                                                                                                                  |          6 |        629 |          0 |         21 |        650 |
| app\about (Files)                                                                                                          |          1 |         98 |          0 |          3 |        101 |
| app\about\features                                                                                                         |          3 |        366 |          0 |         10 |        376 |
| app\about\features (Files)                                                                                                 |          1 |        123 |          0 |          4 |        127 |
| app\about\features\natural-play-learning                                                                                   |          1 |        119 |          0 |          3 |        122 |
| app\about\features\woodpecker-method                                                                                       |          1 |        124 |          0 |          3 |        127 |
| app\about\meet-the-team                                                                                                    |          1 |         85 |          0 |          4 |         89 |
| app\about\ranks-and-badges                                                                                                 |          1 |         80 |          0 |          4 |         84 |
| app\admin                                                                                                                  |          2 |         42 |          0 |          7 |         49 |
| app\admin\badges                                                                                                           |          1 |         30 |          0 |          4 |         34 |
| app\admin\curated-sets                                                                                                     |          1 |         12 |          0 |          3 |         15 |
| app\api                                                                                                                    |         25 |      1,091 |         10 |        182 |      1,283 |
| app\api (Files)                                                                                                            |          1 |         31 |          0 |          3 |         34 |
| app\api\admin                                                                                                              |          1 |         72 |          0 |         15 |         87 |
| app\api\admin\badges                                                                                                       |          1 |         72 |          0 |         15 |         87 |
| app\api\auth                                                                                                               |          2 |         18 |          0 |          6 |         24 |
| app\api\auth\[kindeAuth]                                                                                                   |          1 |          2 |          0 |          2 |          4 |
| app\api\auth\cookies                                                                                                       |          1 |         16 |          0 |          4 |         20 |
| app\api\courses                                                                                                            |          6 |        354 |          8 |         47 |        409 |
| app\api\courses\create                                                                                                     |          2 |        139 |          5 |         19 |        163 |
| app\api\courses\create\checkName                                                                                           |          1 |         34 |          0 |          5 |         39 |
| app\api\courses\create\upload                                                                                              |          1 |        105 |          5 |         14 |        124 |
| app\api\courses\user                                                                                                       |          4 |        215 |          3 |         28 |        246 |
| app\api\courses\user\[courseId]                                                                                            |          4 |        215 |          3 |         28 |        246 |
| app\api\courses\user\[courseId] (Files)                                                                                    |          1 |         42 |          0 |          7 |         49 |
| app\api\courses\user\[courseId]\fens                                                                                       |          2 |         82 |          3 |         12 |         97 |
| app\api\courses\user\[courseId]\fens\new                                                                                   |          1 |         30 |          0 |          6 |         36 |
| app\api\courses\user\[courseId]\fens\update                                                                                |          1 |         52 |          3 |          6 |         61 |
| app\api\courses\user\[courseId]\stats                                                                                      |          1 |         91 |          0 |          9 |        100 |
| app\api\courses\user\[courseId]\stats\[lineId]                                                                             |          1 |         91 |          0 |          9 |        100 |
| app\api\endgames                                                                                                           |          1 |         27 |          0 |          7 |         34 |
| app\api\endgames\streak                                                                                                    |          1 |         27 |          0 |          7 |         34 |
| app\api\logEvent                                                                                                           |          1 |         19 |          0 |          4 |         23 |
| app\api\mail                                                                                                               |          2 |         77 |          2 |         10 |         89 |
| app\api\mail\contactForm                                                                                                   |          1 |         38 |          1 |          5 |         44 |
| app\api\mail\reportIssue                                                                                                   |          1 |         39 |          1 |          5 |         45 |
| app\api\profile                                                                                                            |          3 |        183 |          0 |         33 |        216 |
| app\api\profile (Files)                                                                                                    |          1 |         92 |          0 |         16 |        108 |
| app\api\profile\streak                                                                                                     |          1 |         18 |          0 |          4 |         22 |
| app\api\profile\xp                                                                                                         |          1 |         73 |          0 |         13 |         86 |
| app\api\tactics                                                                                                            |          8 |        310 |          0 |         57 |        367 |
| app\api\tactics\create                                                                                                     |          1 |         53 |          0 |          9 |         62 |
| app\api\tactics\createRound                                                                                                |          1 |         40 |          0 |          6 |         46 |
| app\api\tactics\delete                                                                                                     |          1 |         29 |          0 |          7 |         36 |
| app\api\tactics\stats                                                                                                      |          3 |        126 |          0 |         22 |        148 |
| app\api\tactics\stats\increaseCorrect                                                                                      |          1 |         44 |          0 |          8 |         52 |
| app\api\tactics\stats\increaseIncorrect                                                                                    |          1 |         34 |          0 |          6 |         40 |
| app\api\tactics\stats\increaseTimeTaken                                                                                    |          1 |         48 |          0 |          8 |         56 |
| app\api\tactics\update                                                                                                     |          1 |         37 |          0 |          8 |         45 |
| app\api\tactics\user                                                                                                       |          1 |         25 |          0 |          5 |         30 |
| app\auth                                                                                                                   |          1 |         35 |          0 |          4 |         39 |
| app\auth\signin                                                                                                            |          1 |         35 |          0 |          4 |         39 |
| app\components                                                                                                             |         48 |     10,668 |        135 |        407 |     11,210 |
| app\components\_elements                                                                                                   |          4 |        135 |          0 |          7 |        142 |
| app\components\_layouts                                                                                                    |          7 |        275 |          0 |         22 |        297 |
| app\components\admin                                                                                                       |          4 |        618 |          3 |         25 |        646 |
| app\components\admin (Files)                                                                                               |          2 |        256 |          3 |         18 |        277 |
| app\components\admin\curatedSets                                                                                           |          2 |        362 |          0 |          7 |        369 |
| app\components\contact                                                                                                     |          2 |        364 |          2 |         29 |        395 |
| app\components\dashboard                                                                                                   |          4 |        394 |          2 |         26 |        422 |
| app\components\general                                                                                                     |          5 |        132 |          6 |         17 |        155 |
| app\components\template                                                                                                    |          5 |        369 |          0 |         21 |        390 |
| app\components\template (Files)                                                                                            |          1 |         99 |          0 |          7 |        106 |
| app\components\template\footer                                                                                             |          1 |        128 |          0 |          3 |        131 |
| app\components\template\header                                                                                             |          3 |        142 |          0 |         11 |        153 |
| app\components\training                                                                                                    |         17 |      8,381 |        122 |        260 |      8,763 |
| app\components\training\courses                                                                                            |         10 |      6,387 |         73 |        125 |      6,585 |
| app\components\training\courses (Files)                                                                                    |          1 |        523 |         56 |         56 |        635 |
| app\components\training\courses\create                                                                                     |          8 |      5,723 |         17 |         58 |      5,798 |
| app\components\training\courses\create (Files)                                                                             |          6 |        636 |         11 |         45 |        692 |
| app\components\training\courses\create\parse                                                                               |          2 |      5,087 |          6 |         13 |      5,106 |
| app\components\training\courses\list                                                                                       |          1 |        141 |          0 |         11 |        152 |
| app\components\training\endgames                                                                                           |          1 |        601 |         20 |         41 |        662 |
| app\components\training\tactics                                                                                            |          6 |      1,393 |         29 |         94 |      1,516 |
| app\components\training\tactics (Files)                                                                                    |          1 |        646 |         26 |         48 |        720 |
| app\components\training\tactics\create                                                                                     |          1 |        349 |          2 |         16 |        367 |
| app\components\training\tactics\list                                                                                       |          4 |        398 |          1 |         30 |        429 |
| app\contact                                                                                                                |          2 |         38 |          0 |          6 |         44 |
| app\contact (Files)                                                                                                        |          1 |         20 |          0 |          3 |         23 |
| app\contact\report-an-issue                                                                                                |          1 |         18 |          0 |          3 |         21 |
| app\courses                                                                                                                |          3 |        207 |          0 |         18 |        225 |
| app\courses (Files)                                                                                                        |          1 |        115 |          0 |          3 |        118 |
| app\courses\[slug]                                                                                                         |          1 |         69 |          0 |         11 |         80 |
| app\courses\create                                                                                                         |          1 |         23 |          0 |          4 |         27 |
| app\dashboard                                                                                                              |          4 |        358 |          3 |         22 |        383 |
| app\dashboard (Files)                                                                                                      |          1 |        205 |          3 |         11 |        219 |
| app\dashboard\badges                                                                                                       |          1 |         71 |          0 |          5 |         76 |
| app\dashboard\new                                                                                                          |          1 |         68 |          0 |          3 |         71 |
| app\dashboard\settings                                                                                                     |          1 |         14 |          0 |          3 |         17 |
| app\product-roadmap                                                                                                        |          1 |         57 |          0 |          3 |         60 |
| app\training                                                                                                               |         10 |        507 |          0 |         41 |        548 |
| app\training (Files)                                                                                                       |          1 |          4 |          0 |          1 |          5 |
| app\training\courses                                                                                                       |          2 |        150 |          0 |         16 |        166 |
| app\training\courses (Files)                                                                                               |          1 |         68 |          0 |          6 |         74 |
| app\training\courses\[courseId]                                                                                            |          1 |         82 |          0 |         10 |         92 |
| app\training\endgames                                                                                                      |          2 |        118 |          0 |          6 |        124 |
| app\training\endgames (Files)                                                                                              |          1 |         95 |          0 |          3 |         98 |
| app\training\endgames\train                                                                                                |          1 |         23 |          0 |          3 |         26 |
| app\training\knight-vision                                                                                                 |          1 |         40 |          0 |          3 |         43 |
| app\training\tactics                                                                                                       |          3 |        154 |          0 |         12 |        166 |
| app\training\tactics (Files)                                                                                               |          1 |         89 |          0 |          3 |         92 |
| app\training\tactics\[setId]                                                                                               |          1 |         44 |          0 |          6 |         50 |
| app\training\tactics\list                                                                                                  |          1 |         21 |          0 |          3 |         24 |
| app\training\visualisation                                                                                                 |          1 |         41 |          0 |          3 |         44 |
| server                                                                                                                     |          1 |         11 |          0 |          5 |         16 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
